"missing_points","mean","max","min","Estimator","diff","par"
26,0.640064667678315,0.648231179301159,0.635209972052452,"MLE",0.0130212072487068,"beta"
27,0.640062385762688,0.644076042091923,0.636094535341724,"MLE",0.0079815067501986,"beta"
28,0.640086133716926,0.64244381100439,0.636380210208839,"MLE",0.00606360079555168,"beta"
29,0.640058910082299,0.64457416566521,0.636004730511286,"MLE",0.00856943515392472,"beta"
30,0.640053677554139,0.643535879046922,0.635941740871522,"MLE",0.00759413817539967,"beta"
1,1.10160350646917,1.10187243786477,1.10065552778567,"LSE",0.00121691007910085,"R"
2,1.10163263816996,1.10212887003333,1.10075371268978,"LSE",0.00137515734354254,"R"
3,1.10156334691829,1.10226189449737,1.10030539151674,"LSE",0.00195650298062744,"R"
4,1.10155992002391,1.10244296853586,1.10008002776624,"LSE",0.00236294076962396,"R"
5,1.10159416284137,1.10234260755898,1.10050524201419,"LSE",0.00183736554479297,"R"
6,1.10158770802258,1.10246094474709,1.09976374640794,"LSE",0.00269719833915216,"R"
7,1.10161955396066,1.10287671034004,1.09942381317255,"LSE",0.00345289716749297,"R"
8,1.10160704204385,1.10267368009165,1.09979185476097,"LSE",0.00288182533067527,"R"
9,1.10162482468813,1.10285906779448,1.09901770999174,"LSE",0.00384135780273898,"R"
10,1.10161350997512,1.10274236510726,1.09990276286055,"LSE",0.00283960224671032,"R"
11,1.10144574663324,1.1027998895909,1.09935781594939,"LSE",0.00344207364150484,"R"
12,1.10159948499071,1.1027196368343,1.09865843719519,"LSE",0.00406119963911222,"R"
13,1.10147966976591,1.10295225402898,1.09953995682702,"LSE",0.00341229720196301,"R"
14,1.10157780230542,1.10313744547039,1.09972261832063,"LSE",0.0034148271497576,"R"
15,1.1016215854146,1.10291777802091,1.09931400931927,"LSE",0.00360376870164458,"R"
16,1.10171315305954,1.10313145970733,1.09965186566684,"LSE",0.00347959404049081,"R"
17,1.10170162215988,1.103346965271,1.09887767388397,"LSE",0.00446929138703389,"R"
18,1.10165901218953,1.10334703193169,1.09751339506746,"LSE",0.00583363686423333,"R"
